"","Row.names","logFC","AveExpr","t","P.Value","adj.P.Val","B","SeqId","SeqIdVersion","SomaId","TargetFullName","Target","UniProt","EntrezGeneID","EntrezGeneSymbol","Organism","Units","Type","Dilution","PlateScale_Reference"
"22","10042-8",0.079932362356077,9.59475173466281,0.662261996301788,0.521180102854399,0.999060679170961,-4.77590418315316,"10042-8","3","SL015131","Serine/threonine-protein kinase Sgk3","SGK3","Q96BR1","100533105","SGK3","Human","RFU","Protein",2.5,"590.5"
"23","10043-31",0.0625202793216921,8.47350939716936,0.544036348080798,0.597066186624074,0.999060679170961,-4.80757672116417,"10043-31","3","SL019249","Bromodomain-containing protein 4","BRD4","O60885","23476","BRD4","Human","RFU","Protein",2.5,"369.0"
"24","10044-12",-0.094229339108999,4.27756620959295,-0.362676720219993,0.723588887293938,0.999060679170961,-4.84487348440371,"10044-12","3","SL012823","Protein Wnt-10a","WN10A","Q9GZT5","80326","WNT10A","Human","RFU","Protein",2.5,"345.6"
"25","10045-47",-0.143183699341352,7.74319205044608,-0.942980261045106,0.365561784239487,0.999060679170961,-4.67973307075487,"10045-47","3","SL010989","Cullin-3","CUL3","Q13618","8452","CUL3","Human","RFU","Protein",2.5,"163.4"
"26","10046-55",0.123860580915061,8.92922541927518,1.07569064755294,0.304662550898592,0.999060679170961,-4.62520996125306,"10046-55","3","SL003727","Baculoviral IAP repeat-containing protein 2","cIAP-1","Q13490","329","BIRC2","Human","RFU","Protein",2.5,"545.15"
"27","10047-12",0.0606774091252138,9.29117411269545,0.247889813366047,0.808699864263499,0.999060679170961,-4.86102918758384,"10047-12","3","SL004553","Neutrophil cytosol factor 2","NCF-2","P19878","4688","NCF2","Human","RFU","Protein",2.5,"741.4"
"28","10048-7",-0.00625125731592568,8.13333525082592,-0.0472917041354897,0.963112406459851,0.999060679170961,-4.87480222801193,"10048-7","3","SL011998","Core-binding factor subunit beta","PEBB","Q13951","865","CBFB","Human","RFU","Protein",2.5,"386.15"
"29","10049-112",0.0305899617781353,7.84623749135262,0.282786384928466,0.782491891709717,0.999060679170961,-4.85674499336537,"10049-112","3","SL019242","Telomeric repeat-binding factor 1","TERF1","P54274","7013","TERF1","Human","RFU","Protein",2.5,"320.3"
"30","10053-5",-0.426279878210927,9.31560587018736,-1.7608449851243,0.105471930325018,0.999060679170961,-4.27968343480179,"10053-5","3","SL004474","Integrin-linked protein kinase","ILK1","Q13418","3611","ILK","Human","RFU","Protein",2.5,"358.85"
"31","10054-3",-0.120092381216582,5.91401246846588,-1.0655264386752,0.309040129865217,0.999060679170961,-4.62956896044785,"10054-3","3","SL019232","Gigaxonin","GAN","Q9H2C0","8139","GAN","Human","RFU","Protein",2.5,"136.2"
"32","10056-5",-0.126216425969409,8.64021436511069,-0.729925914256338,0.480404548961261,0.999060679170961,-4.75531753624633,"10056-5","3","SL007372","Forkhead box protein M1","FOXM1","Q08050","2305","FOXM1","Human","RFU","Protein",2.5,"204.2"
"33","10058-1",-0.207843889742545,11.0640588994809,-0.848797221131847,0.413744864138711,0.999060679170961,-4.71507396396219,"10058-1","3","SL013796","UV excision repair protein RAD23 homolog A","RD23A","P54725","5886","RAD23A","Human","RFU","Protein",2.5,"553.3"
"34","10063-10",0.0956953258290776,7.55683533236506,0.851522205839314,0.412292833007032,0.999060679170961,-4.714093067395,"10063-10","3","SL019237","E3 ubiquitin-protein ligase FANCL","FANCL","Q9NW38","55120","FANCL","Human","RFU","Protein",2.5,"246.1"
"35","10064-12",0.0352625554509132,8.92086524636899,0.270396498409138,0.791766680752027,0.999060679170961,-4.85832930210625,"10064-12","3","SL011550","Putative hydrolase RBBP9","RBBP9","O75884","10741","RBBP9","Human","RFU","Protein",2.5,"1008.0"
"36","10069-2",0.06266390895781,7.70004354851461,0.499934907466994,0.626784794191018,0.999060679170961,-4.81793415173768,"10069-2","3","SL013908","Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1","PIN1","Q13526","5300","PIN1","Human","RFU","Protein",2.5,"284.5"
"37","10070-22",-0.0442561360858278,8.13964811316509,-0.290073336666547,0.777053337007267,0.999060679170961,-4.85578079929503,"10070-22","3","SL016406","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2","PLCG2","P16885","5336","PLCG2","Human","RFU","Protein",2.5,"327.05"
"38","10073-22",-0.0212552868377625,9.48842673133385,-0.169352263654322,0.868535641831872,0.999060679170961,-4.86863728239888,"10073-22","3","SL011411","Tyrosyl-DNA phosphodiesterase 1","TYDP1","Q9NUW8","55775","TDP1","Human","RFU","Protein",2.5,"506.1"
"39","10074-128",0.0651931807699935,8.51085578121667,0.576669685149828,0.575554310478337,0.999060679170961,-4.79939575000139,"10074-128","3","SL014748","Bromodomain-containing protein 2","BRD2","P25440","6046","BRD2","Human","RFU","Protein",2.5,"466.65"
"40","10075-75",-0.229107865715878,8.83452277318083,-0.995201682039628,0.34062608280225,0.999060679170961,-4.65890987869039,"10075-75","3","SL019254","Acyl-CoA-binding domain-containing protein 6","ACBD6","Q9BR61","84320","ACBD6","Human","RFU","Protein",2.5,"73.95"
"41","10076-1",0.0190828469950457,8.76628913850212,0.167441020447646,0.87000419335462,0.999060679170961,-4.86878707929207,"10076-1","3","SL019225","AP-4 complex subunit mu-1","AP4M1","O00189","9179","AP4M1","Human","RFU","Protein",2.5,"486.3"
"42","10078-5",0.0971221602339547,8.40504610050475,0.890073450608833,0.392119964030351,0.999060679170961,-4.69994659056731,"10078-5","3","SL007063","BAG family molecular chaperone regulator 3","BAG3","O95817","9531","BAG3","Human","RFU","Protein",2.5,"400.2"
"43","10080-9",-0.0748347089330839,8.14970766769149,-0.427086732075853,0.677400284168806,0.999060679170961,-4.83324547771032,"10080-9","3","SL019240","Translation initiation factor eIF-2B subunit alpha","EI2BA","Q14232","1967","EIF2B1","Human","RFU","Protein",2.5,"131.55"
"44","10081-17",0.0833184018877295,6.62005930182774,0.769182132173661,0.457679041563505,0.999060679170961,-4.74258866080624,"10081-17","3","SL019243","DNA-binding protein SATB2","SATB2","Q9UPW6","23314","SATB2","Human","RFU","Protein",2.5,"169.2"
"45","10082-251",-0.186606748680761,9.90107235314463,-0.619139217000219,0.54819534572754,0.999060679170961,-4.78810299771608,"10082-251","3","SL019251","Neurofilament light polypeptide","NFL","P07196","4747","NEFL","Human","RFU","Protein",2.5,"1468.8"
"46","10085-25",-0.122763390377788,8.84501871861763,-0.705133325042579,0.495111912629882,0.999060679170961,-4.76306215241434,"10085-25","3","SL001714","Steroidogenic acute regulatory protein, mitochondrial","STAR","P49675","6770","STAR","Human","RFU","Protein",2.5,"732.2"
"47","10086-39",0.0444533131338662,7.64935450033921,0.388443815593965,0.704960473204813,0.999060679170961,-4.84043967776048,"10086-39","3","SL018882","Cystathionine beta-synthase","CBS","P35520","102724560","CBS","Human","RFU","Protein",2.5,"603.3"
"48","10087-10",0.117471542185484,7.32796516152335,1.05757923666577,0.312495708552215,0.999060679170961,-4.63295678813777,"10087-10","3","SL003675","Alpha-crystallin A chain","Alpha crystallin A chain","P02489","102724652","CRYAA","Human","RFU","Protein",2.5,"225.55"
"49","10088-37",-0.225307136154271,8.41083843462778,-1.03409489805581,0.322876118770688,0.999060679170961,-4.64286196041691,"10088-37","3","SL008014","Adenine phosphoribosyltransferase","APT","P07741","353","APRT","Human","RFU","Protein",2.5,"112.75"
"50","10089-7",-0.366386532400032,9.64326652975779,-1.50321153838715,0.160411036314077,0.999060679170961,-4.41930747539396,"10089-7","3","SL019244","N-acetylserotonin O-methyltransferase-like protein","ASML","O95671","8623","ASMTL","Human","RFU","Protein",2.5,"255.15"
"51","10336-3",-0.145339322502959,8.52161009660372,-0.514646638757784,0.616790408488559,0.999060679170961,-4.81456912599142,"10336-3","3","SL019100","E3 ubiquitin-protein ligase CHIP","CHIP","Q9UNE7","10273","STUB1","Human","RFU","Protein",2.5,"144.2"
"52","10339-48",-0.527513213688014,9.62143734188162,-2.9834595324475,0.0122021029257946,0.999060679170961,-3.58957703436015,"10339-48","3","SL001731","Gamma-enolase","NSE","P09104","2026","ENO2","Human","RFU","Protein",2.5,"777.75"
"53","10342-55",-0.152082020360558,7.4956183119342,-1.05286088484883,0.314560989496012,0.999060679170961,-4.63495965305252,"10342-55","3","SL019096","E3 SUMO-protein ligase PIAS4","PIAS4","Q8N2W9","51588","PIAS4","Human","RFU","Protein",2.5,"167.2"
"54","10344-334",-0.021211797565881,8.62381825319521,-0.184965928817707,0.856558330621514,0.999060679170961,-4.86735041344379,"10344-334","3","SL005173","Interleukin-10 receptor subunit alpha","IL-10 Ra","Q13651","3587","IL10RA","Human","RFU","Protein",2.5,"451.3"
"55","10346-5",-0.033012493718287,13.1135069570595,-0.189710231756033,0.852926244342881,0.999060679170961,-4.86693713507167,"10346-5","3","SL007221","Signal transducer and activator of transcription 3","STAT3","P40763","6774","STAT3","Human","RFU","Protein",2.5,"1096.0"
"56","10351-51",-0.186602661787949,9.05095021619805,-1.36278212555103,0.199688379499488,0.999060679170961,-4.4912325114755,"10351-51","3","SL007108","Interferon regulatory factor 1","IRF1","P10914","3659","IRF1","Human","RFU","Protein",2.5,"325.45"
"57","10354-57",-0.0546463579039589,11.057070128713,-0.316718065972566,0.757275031364629,0.999060679170961,-4.85205167888319,"10354-57","3","SL007221","Signal transducer and activator of transcription 3","STAT3","P40763","6774","STAT3","Human","RFU","Protein",2.5,"482.25"
"58","10356-21",0.0518556038331921,7.30421795567529,0.418802604350533,0.683269011260716,0.999060679170961,-4.83484244613906,"10356-21","3","SL000455","Transcription factor AP-1","c-Jun","P05412","3725","JUN","Human","RFU","Protein",2.5,"375.6"
"59","10361-25",0.158693632724509,8.31987325784821,0.890315290305143,0.391995597506744,0.999060679170961,-4.69985627545521,"10361-25","3","SL014684","2'-5'-oligoadenylate synthase 1","OAS1","P00973","4938","OAS1","Human","RFU","Protein",2.5,"317.2"
"60","10362-35",0.0709277846322349,6.64228097896154,0.536510860917999,0.602085595885588,0.999060679170961,-4.80940128420214,"10362-35","3","SL002565","Myc proto-oncogene protein","c-Myc","P01106","4609","MYC","Human","RFU","Protein",2.5,"162.5"
"61","10363-13",-0.222595686417584,10.4439840094255,-1.13930487393018,0.278326079893045,0.999060679170961,-4.59728167169487,"10363-13","3","SL004097","Mothers against decapentaplegic homolog 3","SMAD3","P84022","4088","SMAD3","Human","RFU","Protein",2.5,"719.7"
"62","10364-6",0.0211432943926138,9.0506342209838,0.125264612705405,0.902531356098912,0.999060679170961,-4.87166261342711,"10364-6","3","SL004101","Mothers against decapentaplegic homolog 2","SMAD2","Q15796","4087","SMAD2","Human","RFU","Protein",2.5,"354.4"
"63","10365-132",0.0862765072802167,7.34029462236193,0.807458263510166,0.43619371431823,0.999060679170961,-4.72963960845217,"10365-132","3","SL005184","Interleukin-23","IL-23","P29460|Q9NPF7","3593|51561","IL12B|IL23A","Human","RFU","Protein",2.5,"296.1"
"64","10366-11",-0.164490274720667,7.48987808863124,-1.35999305816763,0.200543557011383,0.999060679170961,-4.49262385778107,"10366-11","3","SL001728","Platelet-derived growth factor receptor alpha","PDGFRA","P16234","5156","PDGFRA","Human","RFU","Protein",2.5,"409.9"
"65","10367-62",0.0620349586796669,5.9904359193966,0.567574802784153,0.581507651992321,0.999060679170961,-4.80171950203096,"10367-62","3","SL001716","Interleukin-12","IL-12","P29459|P29460","3592|3593","IL12A|IL12B","Human","RFU","Protein",2.5,"113.05"
"66","10370-21",0.383483392743673,7.70688356831271,1.47515753638918,0.167683496564225,0.999060679170961,-4.43395252975075,"10370-21","3","SL004396","Signal transducer and activator of transcription 1-alpha/beta","STAT1","P42224","6772","STAT1","Human","RFU","Protein",2.5,"93.55"
"67","10372-18",-0.277247545950916,11.9800401673373,-1.57629555340443,0.142728449743676,0.999060679170961,-4.38057967176527,"10372-18","3","SL007229","Signal transducer and activator of transcription 6","STAT6","P42226","6778","STAT6","Human","RFU","Protein",2.5,"672.4"
"68","10382-1",0.0996438691387942,7.45169748068942,0.875549439593479,0.399638881882676,0.999060679170961,-4.70533489107098,"10382-1","3","SL006803","Angiopoietin-related protein 3","ANGL3","Q9Y5C1","27329","ANGPTL3","Human","RFU","Protein",2.5,"42144.6"
"69","10390-21",0.124223056208351,7.7528666530777,0.614840732955046,0.550930913267948,0.999060679170961,-4.78927880615313,"10390-21","3","SL018971","E3 ubiquitin-protein ligase ZNRF3","ZNRF3","Q9ULT6","84133","ZNRF3","Human","RFU","Protein",2.5,"188.7"
"70","10391-1",0.342599703081951,7.9338678696346,0.929503202121772,0.372203152731899,0.999060679170961,-4.68496803540353,"10391-1","3","SL006803","Angiopoietin-related protein 3","ANGL3","Q9Y5C1","27329","ANGPTL3","Human","RFU","Protein",2.5,"138369.45"
"71","10396-6",-0.275013944223999,6.7065936957095,-0.947431061347464,0.363387063783464,0.999060679170961,-4.67799152479812,"10396-6","3","SL003755","Induced myeloid leukemia cell differentiation protein Mcl-1","Mcl-1","Q07820","4170","MCL1","Human","RFU","Protein",2.5,"52.2"
"72","10398-110",0.081129026027539,7.50362683747755,0.737575164668234,0.47592207456758,0.999060679170961,-4.75288177110999,"10398-110","3","SL019275","Ankyrin repeat domain-containing protein 1","ANKR1","Q15327","27063","ANKRD1","Human","RFU","Protein",2.5,"419.75"
"73","10418-36",0.187466519205014,11.138549019564,0.804411599299741,0.43787933498186,0.999060679170961,-4.73068944236772,"10418-36","3","SL011111","Syntaxin-12","STX12","Q86Y82","23673","STX12","Human","RFU","Protein",2.5,"781.5"
"74","10419-1",-0.6055569666186,8.78312266834727,-4.33999030010688,0.00112341808571223,0.999060679170961,-2.96233788201256,"10419-1","3","SL014110","Scavenger receptor class A member 5","SCAR5","Q6ZMJ2","286133","SCARA5","Human","RFU","Protein",2.5,"1087.8"
"75","10420-30",-0.154244010869519,6.94157949673101,-0.818726029463541,0.429996688405322,0.999060679170961,-4.7257284972511,"10420-30","3","SL018037","Fas apoptotic inhibitory molecule 1","FAIM1","Q9NVQ4","55179","FAIM","Human","RFU","Protein",2.5,"122.5"
"76","10424-31",-0.0528258552668648,5.28877138735594,-0.468314866756686,0.64852978835735,0.999060679170961,-4.82485800713318,"10424-31","3","SL015264","Neural proliferation differentiation and control protein 1","NPDC1","Q9NQX5","56654","NPDC1","Human","RFU","Protein",2.5,"99.4"
"77","10425-3",0.127130841248025,8.69291260377834,1.09164151206951,0.297887438904403,0.999060679170961,-4.61831096382138,"10425-3","3","SL017972","Beta-1,4-galactosyltransferase 5","B4GT5","O43286","9334","B4GALT5","Human","RFU","Protein",2.5,"425.9"
"78","10426-21",-0.0436182103787317,2.11117510868889,-0.160382587105001,0.875432099004796,0.999060679170961,-4.86932567359004,"10426-21","3","SL018004","Golgi SNAP receptor complex member 2","GOSR2","O14653","9570","GOSR2","Human","RFU","Protein",2.5,"44.85"
"79","10428-1",-0.00142073811331844,5.68637862116483,-0.00879036979514929,0.993140812215619,0.999060679170961,-4.87530662937337,"10428-1","3","SL018045","Killer cell immunoglobulin-like receptor 2DS2","KI2S2","P43631","100132285","KIR2DS2","Human","RFU","Protein",2.5,"523.65"
"80","10430-31",0.0723843749663677,5.45594116029428,0.642184129720083,0.53366074067286,0.999060679170961,-4.78167465108968,"10430-31","3","SL025780","4F2 cell-surface antigen heavy chain:Cytoplasmic domain","4F2:CD","P08195","6520","SLC3A2","Human","RFU","Protein",2.5,"75.55"
"81","10432-3",0.069941981036191,6.1452528486927,0.688456107362651,0.505157572450103,0.999060679170961,-4.76814129775097,"10432-3","3","SL018002","Uncharacterized protein KIAA1644","K1644","Q3SXP7","85352","SHISAL1","Human","RFU","Protein",2.5,"94.4"
"82","10435-2",0.106889823534955,6.06161410753603,0.860276441146818,0.407651367862778,0.999060679170961,-4.71092471296767,"10435-2","3","SL008645","N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase","ASPG","P20933","175","AGA","Human","RFU","Protein",2.5,"166.0"
"83","10438-19",0.1045443247784,9.08825458930218,0.832116454814035,0.422708296354179,0.999060679170961,-4.72102282264021,"10438-19","3","SL007128","Granulocyte-macrophage colony-stimulating factor receptor subunit alpha","CSF2R","P15509","1438","CSF2RA","Human","RFU","Protein",2.5,"962.7"
"84","10439-57",0.120177545231183,7.62180549877527,1.15435214028925,0.272361244391505,0.999060679170961,-4.59051737396457,"10439-57","3","SL005393","Alpha-amylase 2B","Alpha-amylase 2B","P19961","280","AMY2B","Human","RFU","Protein",2.5,"421.65"
"85","10440-26",0.0942280364013817,7.23713354635161,0.900957829218785,0.386549630348589,0.999060679170961,-4.69586266481898,"10440-26","3","SL025782","CXADR-like membrane protein:Extracellular domain","ACAM:ECD","Q9H6B4","79827","CLMP","Human","RFU","Protein",2.5,"249.65"
"86","10442-1",0.0583009026367716,5.6657139493704,0.584523576717015,0.570439789421373,0.999060679170961,-4.79736206457908,"10442-1","3","SL018089","Transmembrane protein 190","TM190","Q8WZ59","147744","TMEM190","Human","RFU","Protein",2.5,"89.95"
"87","10445-20",0.0220352938899673,7.8656223800872,0.213021661058041,0.835132896619109,0.999060679170961,-4.8647561107739,"10445-20","3","SL004747","Apolipoprotein M","ApoM","O95445","55937","APOM","Human","RFU","Protein",2.5,"12711.7"
"88","10447-18",0.0556683530271567,9.8850799050516,0.267824893925142,0.793695993388418,0.999060679170961,-4.85864942596594,"10447-18","3","SL018138","Polyadenylate-binding protein 3","PABP3","Q9H361","5042","PABPC3","Human","RFU","Protein",2.5,"412.35"
"89","10449-31",0.0655101107565343,9.16685242987958,0.505666605395638,0.622881540171483,0.999060679170961,-4.81663392163395,"10449-31","3","SL008887","Protein shisa-2 homolog","TMM46","Q6UWI4","387914","SHISA2","Human","RFU","Protein",2.5,"531.55"
"90","10451-11",-0.0564369043372626,10.4645155012652,-0.298203323924996,0.77100025304223,0.999060679170961,-4.8546767943325,"10451-11","3","SL008914","Nucleobindin-1","NUCB1","Q02818","4924","NUCB1","Human","RFU","Protein",2.5,"5433.4"
"91","10453-7",0.0393501552330875,4.61440532879151,0.385627687507361,0.706986896177859,0.999060679170961,-4.84093846827775,"10453-7","3","SL018233","Carcinoembryonic antigen-related cell adhesion molecule 20","CEA20","Q6UY09","125931","CEACAM20","Human","RFU","Protein",2.5,"47.9"
"92","10454-99",0.0728620109856664,6.40095646851735,0.458241700918992,0.655530698878125,0.999060679170961,-4.82697456730529,"10454-99","3","SL018290","DnaJ homolog subfamily C member 16","DJC16","Q9Y2G8","23341","DNAJC16","Human","RFU","Protein",2.5,"82.15"
"93","10455-196",0.0817856785213475,7.16208920780656,0.722379384639421,0.484852404089816,0.999060679170961,-4.75769926423412,"10455-196","3","SL004678","Interleukin-31","IL-31","Q6EBC2","386653","IL31","Human","RFU","Protein",2.5,"268.05"
"94","10457-3",0.0831597337052115,6.90245016529048,0.792533578649221,0.444491698551225,0.999060679170961,-4.73475100513285,"10457-3","3","SL004861","Interleukin-18 receptor accessory protein","IL-18 Rb","O95256","8807","IL18RAP","Human","RFU","Protein",2.5,"229.35"
"95","10460-1",-0.0394660647098357,5.07197201954997,-0.319354523281137,0.755327532338189,0.999060679170961,-4.85166536164799,"10460-1","3","SL006029","Chitotriosidase-1","Chitotriosidase-1","Q13231","1118","CHIT1","Human","RFU","Protein",2.5,"397.3"
"96","10462-14",0.0630254737268698,7.12330887841787,0.61208806616411,0.552686726718563,0.999060679170961,-4.79002791153179,"10462-14","3","SL012880","Insulin-like peptide INSL5","INSL5","Q9Y5Q6","10022","INSL5","Human","RFU","Protein",2.5,"148.4"
"97","10463-23",0.0430780857680535,7.18328566635769,0.417241572238056,0.684377353413306,0.999060679170961,-4.83514004177762,"10463-23","3","SL002514","Intestinal-type alkaline phosphatase","Alkaline phosphatase, intestine","P09923","248","ALPI","Human","RFU","Protein",2.5,"283.3"
"98","10464-6",0.0876012816991611,8.22786378869448,0.876859003670794,0.398956908820652,0.999060679170961,-4.70485194311627,"10464-6","3","SL008696","Anthrax toxin receptor 1","ANTR1","Q9H6X2","84168","ANTXR1","Human","RFU","Protein",2.5,"521.6"
"99","10470-34",-0.100894648437661,4.51575555557074,-0.330439872835881,0.747158507928468,0.999060679170961,-4.85000701998828,"10470-34","3","SL026024","Thioredoxin domain-containing protein 11:C-term","TXD11:N-term","Q6PKC3","51061","TXNDC11","Human","RFU","Protein",2.5,"99.6"
"100","10472-53",0.0615720056023763,7.64011534945425,0.664694916329799,0.519679456324338,0.999060679170961,-4.77519430312518,"10472-53","3","SL004145","Tumor necrosis factor receptor superfamily member 14","HVEM","Q92956","8764","TNFRSF14","Human","RFU","Protein",2.5,"317.95"
"101","10473-2",0.115375574137835,6.06247424208575,0.982644877730583,0.346506208255487,0.999060679170961,-4.66399385760816,"10473-2","3","SL002602","Trefoil factor 2","Trefoil factor 2","Q03403","7032","TFF2","Human","RFU","Protein",2.5,"110.65"
"102","10479-18",0.0334793207112281,7.27173506695434,0.251284016642561,0.806139410070457,0.999060679170961,-4.86063676366856,"10479-18","3","SL000645","Stromelysin-2","MMP-10","P09238","4319","MMP10","Human","RFU","Protein",2.5,"579.75"
"103","10480-33",0.12273120239413,6.88860572724412,1.22071414490909,0.247238594524925,0.999060679170961,-4.56000054887824,"10480-33","3","SL004557","CD59 glycoprotein","CD59","P13987","966","CD59","Human","RFU","Protein",2.5,"421.1"
"104","10485-56",-0.149499310235796,1.28049229341734,-0.739000994284644,0.475089429366175,0.999060679170961,-4.75242534352143,"10485-56","3","SL005064","Melanoma-associated antigen 4","MAGE-4","P43358","4103","MAGEA4","Human","RFU","Protein",2.5,"61.45"
"105","10490-3",-0.0381923254497334,11.3638882645759,-0.108793207066834,0.915288687897194,0.999060679170961,-4.87256162177601,"10490-3","3","SL025976","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1:Cytoplasmic domain","RPN1:CD","P04843","6184","RPN1","Human","RFU","Protein",2.5,"593.05"
"106","10496-11",0.00241359459814028,8.0708419417801,0.021658668738499,0.983100789423042,0.999060679170961,-4.87521508642757,"10496-11","3","SL009322","Calcium-activated chloride channel regulator 1","CaCC","A8K7I4","1179","CLCA1","Human","RFU","Protein",2.5,"369.2"
